date,title,artist,weeks,current,peak,previous,,
2019/3/23,Hakujitsu,King Gnu,4,8,7,8,,
2019/3/23,Sakura,DA PUMP,5,9,7,7,,
2019/3/23,Konya Konomama,Aimyon,21,10,4,12,,
2019/3/16,Crystal,Kanjani 8,1,1,0,0,,
2019/3/16,Kuroi Hitsuji,Keyakizaka46,6,2,1,1,,
2019/3/16,Marigold,Aimyon,35,3,3,3,,
2019/3/16,Lemon,Kenshi Yonezu,56,4,1,5,,
2019/3/16,Happy Birthday,back number,3,5,2,2,,
2019/3/16,Again,WANIMA,5,6,6,84,,
2019/3/16,Sakura,DA PUMP,4,7,7,63,,
2019/3/16,Hakujitsu,King Gnu,3,8,7,7,,
2019/3/16,Eureka,Soraru,1,9,0,0,,
2019/3/16,Kaerimichi Ha Toomawari Shitakunaru,Nogizaka46,21,10,1,8,,
2019/3/9,Kuroi Hitsuji,Keyakizaka46,5,1,1,40,,
2019/3/9,Happy Birthday,back number,2,2,2,2,,
2019/3/9,Marigold,Aimyon,34,3,3,3,,
2019/3/9,Touch Off,UVERworld,1,4,0,0,,
2019/3/9,Lemon,Kenshi Yonezu,55,5,1,4,,
2019/3/9,3 Kai Me No Date Shinwa,Tsubaki Factory,1,6,0,0,,
2019/3/9,Hakujitsu,King Gnu,2,7,7,9,,
2019/3/9,Kaerimichi Ha Toomawari Shitakunaru,Nogizaka46,20,8,1,16,,
2019/3/9,Konya Konomama,Aimyon,19,9,4,6,,
